Ro global average: 0.6372440828116687

Height, Ro
0.0,0.4208567740008519
0.015873015873015872,0.4219396030100196
0.031746031746031744,0.4277822764689753
0.047619047619047616,0.44278493841043964
0.06349206349206349,0.46961782556820575
0.07936507936507936,0.5077871567704826
0.09523809523809523,0.5539207872804109
0.1111111111111111,0.6030233900528814
0.12698412698412698,0.6498774945248014
0.14285714285714285,0.6901033896512176
0.15873015873015872,0.7209106954494452
0.1746031746031746,0.7414353233848515
0.19047619047619047,0.7526327379523761
0.20634920634920634,0.7566813304822579
0.2222222222222222,0.7561248854729429
0.23809523809523808,0.7530324866515037
0.25396825396825395,0.748441054369243
0.2698412698412698,0.7423146521795474
0.2857142857142857,0.734054766447565
0.30158730158730157,0.7230636311232872
0.31746031746031744,0.7090292331411948
0.3333333333333333,0.6921906053963326
0.3492063492063492,0.6737254100371304
0.36507936507936506,0.6560526097046875
0.38095238095238093,0.6416841299625088
0.3968253968253968,0.6330088472106691
0.4126984126984127,0.6310877483961047
0.42857142857142855,0.6342652297600159
0.4444444444444444,0.6393096687236871
0.4603174603174603,0.6432633397839813
0.47619047619047616,0.644605188436537
0.49206349206349204,0.6431467887905277
0.5079365079365079,0.6396711585514304
0.5238095238095238,0.635385620222337
0.5396825396825397,0.6316120908620892
0.5555555555555556,0.6297263024573477
0.5714285714285714,0.6309129731801861
0.5873015873015873,0.6354087614532462
0.6031746031746031,0.6424824842278145
0.6190476190476191,0.6507603381041579
0.6349206349206349,0.6582993538452203
0.6507936507936508,0.663081069505459
0.6666666666666666,0.6641407989001189
0.6825396825396826,0.6624431010467595
0.6984126984126984,0.6615173592941622
0.7142857142857143,0.665270037620917
0.7301587301587301,0.6763003371543774
0.746031746031746,0.6940771887253643
0.7619047619047619,0.7158122707224096
0.7777777777777778,0.7387096757262926
0.7936507936507936,0.758915884545702
0.8095238095238095,0.7722670754834435
0.8253968253968254,0.7748184070071784
0.8412698412698413,0.7633914388421469
0.8571428571428571,0.7363843019347436
0.873015873015873,0.6946280949911373
0.8888888888888888,0.6416186369455142
0.9047619047619048,0.5831773035388036
0.9206349206349206,0.5264152571122607
0.9365079365079365,0.47832842061553305
0.9523809523809523,0.44390463927545504
0.9682539682539683,0.4243960992777767
0.9841269841269841,0.4167233541843642
1.0,0.41528746599836486
