Average global Ro=1.652393010525735

Height, Ro_z
0.0, 0.7202670407043247
0.015622647021064095, 0.7233816454716142
0.03124529404212819, 0.7398173126733188
0.04686794106319228, 0.780441346884983
0.06249058808425638, 0.8500964846578445
0.07811323510532048, 0.9465907494165697
0.09373588212638456, 1.063106876875164
0.10935852914744866, 1.190256173935385
0.12498117616851276, 1.3178401195701794
0.14060382318957684, 1.4364740472050297
0.15622647021064096, 1.5393340800445419
0.17184911723170504, 1.6232351251787869
0.18747176425276912, 1.688718401987225
0.20309441127383324, 1.738897154773424
0.21871705829489732, 1.7781706507128772
0.23433970531596143, 1.8110093582104498
0.24996235233702552, 1.8409573049248136
0.2655849993580896, 1.8698357204907596
0.2812076463791537, 1.8977664689951819
0.2968302934002178, 1.924400362268578
0.3124529404212819, 1.9491139263013606
0.328075587442346, 1.9719669967815632
0.3436982344634101, 1.9935940540430968
0.35932088148447416, 2.014594541613154
0.37494352850553825, 2.0352278162456026
0.3905661755266024, 2.055334959337432
0.4061888225476665, 2.0751614429838385
0.42181146956873056, 2.0948210275669314
0.43743411658979464, 2.113206608918619
0.4530567636108587, 2.1289351655292537
0.46867941063192287, 2.14125530466823
0.48430205765298695, 2.150089426015691
0.49992470467405103, 2.156138006373209
0.5155473516951151, 2.1602004702660316
0.5311699987161792, 2.162130820961145
0.5467926457372433, 2.16092729451229
0.5624152927583074, 2.155077105186627
0.5780379397793715, 2.1443410221056545
0.5936605868004357, 2.1302884194668836
0.6092832338214997, 2.113778072310055
0.6249058808425638, 2.0946734943343475
0.6405285278636279, 2.073127915410341
0.656151174884692, 2.049090739089425
0.6717738219057561, 2.0224916834346276
0.6873964689268202, 1.994044115340941
0.7030191159478842, 1.9642127112165897
0.7186417629689483, 1.9327152180769358
0.7342644099900124, 1.8993320388241697
0.7498870570110765, 1.863187061548244
0.7655097040321407, 1.822966072123876
0.7811323510532048, 1.7763806998385943
0.7967549980742689, 1.7194076264845994
0.812377645095333, 1.6477562378087571
0.828000292116397, 1.5583480057369539
0.8436229391374611, 1.4509026953090112
0.8592455861585252, 1.3290289916014537
0.8748682331795893, 1.2000846091149144
0.8904908802006534, 1.073776277766484
0.9061135272217175, 0.9601929814818009
0.9217361742427816, 0.8679918371554548
0.9373588212638457, 0.8027706530425761
0.9529814682849098, 0.7654375819379123
0.9686041153059739, 0.7506027071547883
0.984226762327038, 0.7478518136465291
