Ro global average: 0.24415652940863003

Height, Ro
0.0,0.08579276078970845
0.015873015873015872,0.08587460444146283
0.031746031746031744,0.08633992993564327
0.047619047619047616,0.08760408317143153
0.06349206349206349,0.09000877064580964
0.07936507936507936,0.09365916659794521
0.09523809523809523,0.09835820645591455
0.1111111111111111,0.10365069963367765
0.12698412698412698,0.10894899786242408
0.14285714285714285,0.11367790937886996
0.15873015873015872,0.11741003410645538
0.1746031746031746,0.11996490632212461
0.19047619047619047,0.12146060922968824
0.20634920634920634,0.12228594083134836
0.2222222222222222,0.12298766367935658
0.23809523809523808,0.12409769913858593
0.25396825396825395,0.12598382204258585
0.2698412698412698,0.1287749061681432
0.2857142857142857,0.1323787031267449
0.30158730158730157,0.1365614207048747
0.31746031746031744,0.1410601275019576
0.3333333333333333,0.14567559856049478
0.3492063492063492,0.15032555353525348
0.36507936507936506,0.15503801765754446
0.38095238095238093,0.15991313673518984
0.3968253968253968,0.16506715713279663
0.4126984126984127,0.17059847776934536
0.42857142857142855,0.17657487018612714
0.4444444444444444,0.18305747799170125
0.4603174603174603,0.19013186762438442
0.47619047619047616,0.19796891006987805
0.49206349206349204,0.2068230452993223
0.5079365079365079,0.21686344899014628
0.5238095238095238,0.22819284800237896
0.5396825396825397,0.2410615964807416
0.5555555555555556,0.2555258506692848
0.5714285714285714,0.27136721191691565
0.5873015873015873,0.28842086553510227
0.6031746031746031,0.30646368167796634
0.6190476190476191,0.3251356852475083
0.6349206349206349,0.34386770883653817
0.6507936507936508,0.36195262147360246
0.6666666666666666,0.37876862526281024
0.6825396825396826,0.39410763846628444
0.6984126984126984,0.4082894816885856
0.7142857142857143,0.42181929908434246
0.7301587301587301,0.43463172689945184
0.746031746031746,0.4456030193118561
0.7619047619047619,0.45295055762675734
0.7777777777777778,0.45521486148712875
0.7936507936507936,0.45190867823536623
0.8095238095238095,0.4435590944816673
0.8253968253968254,0.4313294963369493
0.8412698412698413,0.41653268479725913
0.8571428571428571,0.4002581930114318
0.873015873015873,0.3833028374484194
0.8888888888888888,0.3663367245978997
0.9047619047619048,0.35013971743399247
0.9206349206349206,0.3356779291099782
0.9365079365079365,0.3239679991374777
0.9523809523809523,0.31573046145879824
0.9682539682539683,0.31103909300445776
0.9841269841269841,0.3091533935550551
1.0,0.30878977655937584
