Ro global average: 0.768495438618038

Height, Ro
0.0,0.47101972886759397
0.015873015873015872,0.4723528916598427
0.031746031746031744,0.47945257924140866
0.047619047619047616,0.4974616129608989
0.06349206349206349,0.5293630309182507
0.07936507936507936,0.5745768411935828
0.09523809523809523,0.6294720305080977
0.1111111111111111,0.6886857510169927
0.12698412698412698,0.7465100067343671
0.14285714285714285,0.7979511383591975
0.15873015873015872,0.8395272164038544
0.1746031746031746,0.8696568384710727
0.19047619047619047,0.8886237526882761
0.20634920634920634,0.8980769553335749
0.2222222222222222,0.9002762754618554
0.23809523809523808,0.8973126910022505
0.25396825396825395,0.8905848920189872
0.2698412698412698,0.8806044495682392
0.2857142857142857,0.8671559682966041
0.30158730158730157,0.849828636218364
0.31746031746031744,0.8289667578545344
0.3333333333333333,0.8060679459198208
0.3492063492063492,0.7837667614609644
0.36507936507936506,0.7667538181366547
0.38095238095238093,0.7574636963006232
0.3968253968253968,0.7540808481307911
0.4126984126984127,0.7535224563154721
0.42857142857142855,0.7534642022676219
0.4444444444444444,0.7528630898847113
0.4603174603174603,0.751125871668525
0.47619047619047616,0.7481201864057907
0.49206349206349204,0.7442697183565795
0.5079365079365079,0.7403311937571233
0.5238095238095238,0.7371785109731473
0.5396825396825397,0.7351082802491792
0.5555555555555556,0.7343950965355444
0.5714285714285714,0.7354845366358141
0.5873015873015873,0.7388163278782608
0.6031746031746031,0.7445238583946284
0.6190476190476191,0.7516445732961479
0.6349206349206349,0.7585012171301224
0.6507936507936508,0.7628926164505814
0.6666666666666666,0.7632994077829319
0.6825396825396826,0.7600551000580146
0.6984126984126984,0.7562200435821277
0.7142857142857143,0.7561934866119375
0.7301587301587301,0.7650723906212793
0.746031746031746,0.7855875504170429
0.7619047619047619,0.8116979439104934
0.7777777777777778,0.8365563243240651
0.7936507936507936,0.8557632552505413
0.8095238095238095,0.8654745266819294
0.8253968253968254,0.8621893621580076
0.8412698412698413,0.8432877968702199
0.8571428571428571,0.807955688809468
0.873015873015873,0.7578320465860039
0.8888888888888888,0.6971353987294158
0.9047619047619048,0.6321509415235462
0.9206349206349206,0.5702096531871413
0.9365079365079365,0.5182945176556557
0.9523809523809523,0.48127324465805005
0.9682539682539683,0.4602430729336384
0.9841269841269841,0.4519245980612939
1.0,0.4503595604138385
